module_id,family_id,eligibility_status,source_gate_id,source_gate_sha256,checkpoint_sha256,exclusion_reason,protocol_sha256
visible_inference,V2-A-10-MULTI,not_applicable,G3,0c3bd2fcb0453d1e9b9273aedd11d84fd8fea542d97d49d15b89e2e62a9aaa19,,locked_checkpoint_unavailable:WorkflowExecutionError,a5c460a64750d56678053a7eb7d743daf1594466dc2483ffbab94d69ef360180
thermal_inference,T1-THERM,not_applicable,G2,dedcdc9c1cb67916ba918a250db9c30ef079494a8d70d2c053a475dc4222cb4c,,locked_checkpoint_unavailable:WorkflowExecutionError,a5c460a64750d56678053a7eb7d743daf1594466dc2483ffbab94d69ef360180
sensor_inference,S1-GRU,measured,G2,dedcdc9c1cb67916ba918a250db9c30ef079494a8d70d2c053a475dc4222cb4c,243af80205b41c8d4e7d825a4cb9b22daa4a25e9f11630a5cafdb997fee7ff6f,,a5c460a64750d56678053a7eb7d743daf1594466dc2483ffbab94d69ef360180
graph_fusion,E3-FULL,not_applicable,G5,0bc2b61cfd6ccc8c6129c2298b2633502c69ddad221adb480daeb3a6c5531736,,graph_primary_population_empty,a5c460a64750d56678053a7eb7d743daf1594466dc2483ffbab94d69ef360180
